1	28980	1
2	60460	1
3	40500	1
4	28760	2
5	52380	2
6	26570	3
7	30250	3
8	53830	1
9	35070	3
10	0	5
10	0	6
10	43600	4
11	32660	4
12	59300	1
13	26790	4
14	45640	4
15	49210	2
16	56800	3
17	0	3
17	0	3
17	41710	3
18	0	5
18	0	5
18	55080	3
19	30110	3
20	32200	5
21	0	8
21	0	8
21	0	8
21	0	8
21	47930	8
1	29030	1
2	60460	1
3	41890	1
4	19570	3
5	53700	2
6	35660	2
7	0	4
7	31460	3
8	24620	4
9	42260	2
10	52900	3
11	44260	2
12	48730	3
13	34460	3
14	55640	3
15	39400	3
16	61280	3
17	48560	2
18	46540	4
19	32480	3
20	37830	5
21	0	8
21	0	8
21	66590	7
1	29030	1
2	52660	2
3	41880	1
4	28830	2
5	66010	1
6	35540	2
7	0	4
7	0	4
7	0	4
7	37210	2
8	27700	4
9	42580	2
10	64820	2
11	43750	2
12	40760	4
13	35350	3
14	55640	3
15	45290	2
16	60470	3
17	43420	3
18	45450	4
19	38830	2
20	0	6
20	34200	5
21	0	8
21	59040	8
1	29030	1
2	60510	1
3	41880	1
4	28830	2
5	58020	2
6	34650	2
7	22300	4
8	0	4
8	34720	3
9	43490	2
10	55160	3
11	43370	2
12	61270	1
13	33450	3
14	55640	3
15	39290	3
16	63190	3
17	45840	2
18	54580	3
19	33790	3
20	39110	5
21	0	8
21	62140	7
1	28980	1
2	60460	1
3	41880	1
4	28760	2
5	66670	1
6	35620	2
7	29500	3
8	35200	3
9	42590	2
10	0	5
10	0	6
10	57100	3
11	50870	2
12	56040	2
13	0	4
13	44540	2
14	65640	2
15	0	4
15	42100	3
16	61420	3
17	38580	3
18	45810	4
19	29010	3
20	0	5
20	30380	5
21	0	8
21	62660	7
1	29030	1
2	60460	1
3	41880	1
4	28830	2
5	58420	2
6	35760	2
7	30240	3
8	45050	2
9	45920	2
10	47780	3
11	43920	2
12	59300	1
13	33320	3
14	45640	4
15	38720	3
16	64070	3
17	48970	2
18	42310	4
19	33990	3
20	0	5
20	0	5
20	48470	4
21	58250	8
1	29030	1
2	60460	1
3	41870	1
4	28760	2
5	66670	1
6	35630	2
7	30610	3
8	45050	2
9	43430	2
10	33590	5
11	44260	2
12	61270	1
13	30400	3
14	55640	3
15	0	4
15	40310	3
16	52280	4
17	49610	2
18	47090	4
19	30430	3
20	48900	4
21	0	8
21	65620	7
1	29030	1
2	61390	1
3	41870	1
4	19620	3
5	66010	1
6	35620	2
7	21540	4
8	45050	2
9	42820	2
10	0	6
10	61780	2
11	44260	2
12	56090	2
13	24640	4
14	55640	3
15	0	4
15	32940	4
16	45620	5
17	47890	2
18	45950	4
19	34720	3
20	0	6
20	36110	5
21	0	8
21	73430	6
1	29770	1
2	60460	1
3	41890	1
4	28830	2
5	66010	1
6	35630	2
7	29490	3
8	45050	2
9	42590	2
10	0	5
10	59230	3
11	44260	2
12	55730	2
13	28810	3
14	55640	3
15	42430	3
16	58300	3
17	48370	2
18	45820	4
19	36140	3
20	35840	5
21	57960	8
1	28980	1
2	60460	1
3	41870	1
4	28910	2
5	39130	4
6	35620	2
7	0	4
7	0	4
7	21320	4
8	53830	1
9	43210	2
10	59250	3
11	44260	2
12	55730	2
13	30670	3
14	45640	4
15	39290	3
16	60090	3
17	51140	2
18	53650	3
19	0	4
19	31540	3
20	0	5
20	48790	3
21	57680	8
1	28980	1
2	60460	1
3	41870	1
4	29840	2
5	66670	1
6	35620	2
7	29060	3
8	53830	1
9	43280	2
10	44600	4
11	43750	2
12	38750	4
13	34960	3
14	55640	3
15	0	4
15	48080	2
16	58100	3
17	46290	2
18	47790	4
19	37780	2
20	0	6
20	44190	4
21	56490	8
1	29030	1
2	60460	1
3	41890	1
4	28760	2
5	66670	1
6	35480	2
7	32510	3
8	34060	3
9	0	4
9	50910	1
10	46340	4
11	43750	2
12	47460	3
13	42500	2
14	45640	4
15	38890	3
16	50880	5
17	46720	2
18	41020	5
19	36530	2
20	44850	4
21	60260	8
1	28980	1
2	61410	1
3	41870	1
4	28760	2
5	66010	1
6	35620	2
7	31810	3
8	53830	1
9	42760	2
10	0	6
10	54460	3
11	44260	2
12	56130	2
13	19660	4
14	45640	4
15	0	4
15	0	4
15	48430	2
16	44630	5
17	46980	2
18	49530	4
19	36980	2
20	0	5
20	37980	5
21	72910	6
1	28980	1
2	60460	1
3	41890	1
4	28760	2
5	66670	1
6	24030	3
7	24200	4
8	53830	1
9	43000	2
10	46070	4
11	44260	2
12	56010	2
13	29230	4
14	58850	3
15	48950	2
16	60090	3
17	50710	2
18	45380	4
19	37250	2
20	60680	2
21	64170	8
episode 2
1	0	4
1	0	4
1	0	5
1	0	4
1	0	4
2	0	4
2	0	4
2	0	4
2	0	4
2	0	4
2	48120	4
3	83810	5
4	0	5
4	40070	3
5	74120	3
6	40830	3
7	0	4
7	35790	4
8	0	3
8	0	4
8	55110	1
9	0	4
9	0	4
9	0	4
9	22700	4
10	33900	2
11	84630	4
12	0	6
12	40640	5
13	61840	4
14	43550	3
15	0	5
15	0	5
15	0	5
15	30760	5
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
17	27750	3
18	0	4
18	0	4
18	0	4
18	56270	3
19	0	3
19	0	3
19	0	3
19	0	3
19	0	3
19	0	3
19	36480	2
20	0	3
20	0	3
20	45240	2
21	82830	5
1	0	4
1	51570	4
2	0	4
2	0	4
2	0	4
2	0	4
2	0	4
2	0	4
2	0	4
3	0	5
3	0	5
3	0	5
3	0	5
3	85160	5
4	37010	4
5	0	4
5	68720	4
6	0	3
6	37580	3
7	48720	3
8	46740	3
9	22300	4
10	33830	2
11	0	4
11	0	4
11	77450	4
12	44060	6
13	71440	3
14	50950	3
15	0	5
15	0	5
15	0	5
15	0	5
15	0	5
15	0	5
15	35910	5
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	4
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
16	0	3
